अ	[सं.] ना.
अक्रमातिशयोक्ति	ना.
अक्रव्याद	विशेषण [सं.]
अक्राइ	ना. [√ अक्र (+ आइ)]
अक्राइनु	क.क्रि.
अक्राउनु	प्रे.क्रि.
अक्राहट	ना.
अक्रिनु	अ.क्रि.
अक्रिय	विशेषण [सं.]
अक्रियता	नाम [सं.]
अक्रूर	वि. [सं.]
अक्रोध	विशेषण [सं.]
अक्लले	विशेषण [गन्गा.]
अक्लिष्ट	विशेषण [सं.]
अक्लेश	विशेषण [सं.]
अक्वामा	नाम [लि.]
अक्ष	ना. [सं.]
अक्षक	नाम [सं.]
अक्षकुटक	नाम [सं.]
अक्षक्रीडा	ना.
अक्षक्षेत्र	नाम [सं.]
अक्षण भङ्गुर	विशेषण [सं.]
अक्षत	वि. [सं.]
अक्षत योनि	विशेषण [सं.]
अक्षतयोनि	वि.
अक्षतवीर्य	विशेषण [सं.]
अक्षता	ना. [सं.]
अक्षपाद	नाम [सं.]
अक्षम	वि. [सं.]
अक्षमता	ना.
अक्षमा	ना. [सं.]
अक्षमाला	ना. [सं.]
अक्षम्य	वि. [सं.]
अक्षम्य अपराध	ना.
अक्षय	वि. [सं.]
अक्षय तृतीया	ना.
अक्षय नवमी	ना.
अक्षय वट	नाम [सं.]
अक्षय वीर्य	नाम [सं.]
अक्षयकुमार	ना.
अक्षयकोष	ना.
अक्षयनिधि	नाम [सं.]
अक्षयवट	ना.
अक्षय्य	वि. [सं.]
अक्षय्योदक	ना.
अक्षर	ना. [सं.]
अक्षर ढप	नाम
अक्षर माला	नाम [सं.]
अक्षर लव	नाम [सं.]
अक्षर लोप	नाम [सं.]
अक्षर शत्रु	विशेषण [सं.]
अक्षर सङ्घात	ना.
अक्षरअङ्कित	नाम
अक्षरअभ्यास	नाम
अक्षरकरण	नाम [सं.]
अक्षरजीवी	वि.
अक्षरनिर्माण	नाम
अक्षरन्यास	ना.
अक्षरपत्ती	ना.
अक्षरमुष्टिका	नाम
अक्षरविन्यास	ना.
अक्षरशः	क्रि.वि.
अक्षरसङ्केत	नाम
अक्षरसाधना	नाम
अक्षरसिकाइ	नाम
अक्षराकृति	नाम [सं.]
अक्षरात्मक	वि. [सं.]
अक्षरात्मक लिपि	ना.
अक्षरादि	नाम [सं.]
अक्षरान्त	विशेषण [सं.]
अक्षरान्तराल	नाम [सं.]
अक्षरारम्भ	ना. [सं.]
अक्षराश्रित	विशेषण [सं.]
अक्षरी	विशेषण [अक्षर+ई]
अक्षरीकरण	नाम [अक्षर+ई+करण]
अक्षरेखा	ना. [सं.]
अक्षरेपि	क्रि.वि. [सं.]
अक्षवर्ती	विशेषण [सं.]
अक्षशलाका	नाम [सं.]
अक्षशाला	ना. [सं.]
अक्षसूत्र	नाम [सं.]
अक्षहीन	विशेषण [सं.]
अक्षांश	ना. [सं.]
अक्षांशीय	विशेषण [सं.]
अक्षान्तररेखा	नाम [सं.]
अक्षान्ति	नाम [सं.]
