अ	[सं.] ना.
बलवत	नाम [अस.]
बलवत्ता	नाम [सं.]
बलवन्त	विशेषण [सं.]
बलवर्धक	विशेषण [सं.]
बलवा	नाम
बलवाडी	विशेषण
बलवान्	विशेषण [सं.]
बलवान्/बलशाली	वि. [सं.]
बलवीर्य	नाम
बलशाली	विशेषण [सं.]
बलसाध्य	विशेषण [सं.]
बलसुङ	नाम [रा.]
बलहा	नाम [सं.]
बलहीन	विशेषण [सं.]
बला	ना. [सं.]
बलाँत	नाम
बलाँती	नाम
बलाइ	ना. [अ. बल]
बलाइनु	क.क्रि.
बलाई	नाम
बलाउनु	प्रे.क्रि.
बलाका	ना. [सं.]
बलाघात	ना. [सं.]
बलाढ्य	वि. [सं.]
बलात्	क्रि.वि. [सं.]
बलात् ग्रहण	नाम [सं.]
बलात्कार	ना.
बलात्कारी	नाम [सं.]
बलात्कृत	वि.
बलात्ग्रहण	ना.
बलात्मक	विशेषण [सं. बल+आत्मक]
बलाधिक	विशेषण [सं.]
बलाधिकृत	नाम [सं.]
बलाधिकृत/बलाध्यक्ष	ना. [सं.]
बलाधिक्य	नाम [सं.]
बलाध्यक्ष	नाम [सं.]
बलान	नाम [अस.]
बलानबिहुल	नाम
बलाने	विशेषण
बलाबल	ना. [सं.]
बलामी	नाम [नेवा.]
बलायर	नाम
बलायो	नाम
बलावलेप	नाम [सं.]
बलाश	नाम [सं.]
बलि	ना. [सं.]
बलि चढाउनु	टुक्का
बलि प्रथा	ना. [सं.]
बलि वैश्वदेव	ना. [सं.]
बलिउड	ना.
बलिउन्ते	विशेषण
बलिउन्ने	विशेषण
बलिको बोको	नाम
बलिक्पा	नाम
बलिदान	ना.
बलिदानी	नाम [सं. बलिदान+ई]
बलिन्द्र	वि. [बलेनी]
बलिन्द्र धारा	ना.
बलिपशु	ना. [सं.]
बलिपाध्ये	ना.
बलिप्रथा	नाम [सं.]
बलिप्रिय	नाम [सं.]
बलिबन्ते	वि. [वलवन्त+ए]
बलिभोग	नाम [सं.]
बलिभोगी	विशेषण [सं.]
बलियो	ना. [सं. बलीय]
बलियो बाङ्गो	वि.
बलियोबाङ्गो	विशेषण
बलिवेदी	ना.
बलिवैश्वदेव	नाम [सं.]
बलिष्ठ	वि. [सं.]
बलिहाङ	नाम
बली	वि. [सं.]
बलीवर्द	नाम [सं.]
बलीहाङ	नाम
बलु	ना. [सं. बल.]
बलुवा	नाम
बलुहा	नाम [गन्गा.]
बलेँसी	नाम [सं. बलीक]
बलेंसी	ना. [सं. बलीक]
बलेको आगो ताप्नु	टुक्का
बलेखो	ना. [बलि+बाख्रो]
बलेख्रो	नाम [बलि+बाख्रो]
बलेग्रो	नाम [बलि+बाख्रो]
बलेनी	ना.
बलेफी	नाम
बलेरी	क्रियाविशेषण
बलेसी	नाम [बलेँसी]
बलैहरी	क्रियाविशेषण
बलो	ना. [सं. बलभी]
बलौटे	वि. [बलौटो+ए]
बलौटेनी	वि. [बलौटो+एनी]
बलौटो	ना. [बालुवा+औटो]
बलौट्यान	नाम
बल्क	नाम [सं. बालक]
बल्कनु	अ.क्रि. [बलक्+नु]
बल्काइ	ना.
बल्कि	संयोजक [फा.]
बल्किनु	अ.क्रि.
बल्कोट	नाम
बल्कोट पौवा	
बल्कोनी	ना. [अड्]
बल्गर	विशेषण [था.]
बल्छी	ना. [सं. बडिश]
बल्छी थाप्नु	टुक्का
बल्छी हाल्नु	टुक्का
बल्छीवाल	वि/ नाम
बल्छे	वि. [बल्छी+ए]
बल्छे काँडो	ना.
बल्छेकाँडो	नाम
बल्झन	ना.
बल्झनु	अ.क्रि. [बल्छी+नु]
बल्झाइ	ना.
बल्झाइनु	क.क्रि.
बल्झाउनु	प्रे.क्रि.
बल्झिनु	अ.क्रि.
बल्झुवा	विशेषण
बल्झो	ना.
बल्झ्याइ	नाम
बल्टु	ना. [अड्. बोल्ट]
बल्डेङगढी	नाम
बल्ड्याङ	ना. [अ. मू. बल्याङ्+अ]
बल्ड्याङ बल्ड्याङ	क्रियाविशेषण [अमू. (द्वि.) बल्ड्याङ]
बल्ड्याङबाजी	नाम
बल्ड्याङ्ग्रे	वि. [बल्ड्याङ्ग्रो+ए]
बल्ड्याङ्ग्रो	ना. [अ. मू. बल्ड्याङ्+ग्रो]
बल्ड्याङ्ङ	क्रियाविशेषण [अमू. (द्वि.) बल्ड्याङ]
बल्थिम	नाम [रा.]
बल्द	नाम
बल्धार	नाम
बल्नु	अ.क्रि. [सं. ज्वल्+नु]
बल्ब	ना. [अड्.]
बल्भ्याइ	ना.
बल्याइ	ना.
बल्याइनु	क.क्रि.
बल्याउनु	स.क्रि. [बाली+आउ+नु]
बल्ल	क्रि.वि. [सं. बलात्]
बल्लतल्ल	क्रि.वि.
बल्लभ	विशेषण [सं.]
बल्लरी	नाम [सं.]
बल्ला	ना. [बल्लो+आ]
बल्लानी	नाम
बल्लाबल्ली	ना.
बल्लो	ना. [सं. वर्द]
बल्सी	ना. [सं. बलिश]
बल्हटिया	नाम
बव	ना. [सं.]
बवन्डर	नाम
बवन्डरी	नाम
बवारी	नाम [प्राने.]
बवाल	ना.
बवासिर	ना. [अ.]
बवुल	ना.
बस	वि.बो. [फा.]
बस बिसौनी	ना. [बस+बिसौनी]
बस सेवा	ना. [बस+सेवा]
बस स्टप	नाम [अङ्.]
बसअखडा	नाम
बसउठ	ना. [बस्+उठ्]
बसगौँडो	नाम
बसघरा	नाम [गन्गा.]
बसचालक	नाम
बसनी	नाम
बसन्ता	नाम
बसन्ती	ना. [सं. वसन्ती]
बसन्ते	वि. [सं. वसन्त+ए]
बसन्ते काँडो	ना.
बसन्ते गहुँ	ना.
बसन्तेकाँडो	नाम
बसन्तेगहुँ	नाम
बसन्थले	विशेषण
बसपार्क	नाम [अङ्. बस+पार्क]
बसबरिया	नाम
बसबास	नाम [द्वि. बस]
बसबिसौनी	नाम
बसयात्रा	नाम
बसयात्री	नाम
बसरा	नाम [मग.]
बसरी	नाम
बसली	नाम [गन्गा.]
बसव्यवसायी	नाम
बससेवा	नाम [बस+सेवा]
बसा	क्रियाविशेषण
बसाइ	ना. [√ बस् (+आइ)]
बसाइँ	ना. [बस्+आईं]
बसाइँ सर्नु	टुक्का
बसाइँसराइ	नाम
बसाइतक	क्रियाविशेषण
बसाइनु	अ.क्रि.
बसाउठ	नाम [बस+उठ्]
बसाउठी	ना. [बस्+उठ]
बसाउनु	प्रे.क्रि. [बस्+आउ+नु]
बसात	नाम
बसारो	नाम
बसाली	नाम
बसाले	नाम
बसाल्नु	सकर्मक क्रिया/ प्रेरणार्थक क्रिया [बसाल्+नु]
बसावटिया	नाम
बसाहा	ना. [प्रा. बसह८ सं. वत्स]
बसिदेउ	विशेषण [सं. वासदेव]
बसिदेउ/बसिद्यौ	वि. [सं. वासदेव]
बसिद्यौ	विशेषण [सं. वासदेव]
बसिनु	अ.क्रि. [बस्+इ+नु]
बसिबसाइ	नाम [बस्+बसाइ]
बसिबसाइ/बसिबसाउ	ना. [बस्+बसाइ/बसाउ]
बसिबसाउ	नाम [बस्+बसाउ]
बसिबियाँलो	ना. [बस्+बियाँलो]
बसियत	नाम
बसियतनामा	नाम
बसिया	विशेषण [गन्गा.]
बसिया चुलाहा	नाम [गन्गा.]
बसिया पानी	नाम [गन्गा.]
बसिया भात	नाम [गन्गा.]
बसिला	ना. [सं. वासि]
बसी	नाम [नेवा.]
बसी बसी	क्रियाविशेषण
बसीखाने	विशेषण [बसी+खाने]
बसु	ना. [सं.]
बसुमाता	नाम
बसेडो	नाम
बसेरा	ना. [बास+एरा]
बसेरी	नाम
बसेरो	नाम
बसेल	नाम
बसै	ना. [सं. वसन]
बसैँ	नाम [बसाइँ]
बसैया	विशेषण
बसो	नाम
बसोअ्फुङ्	नाम [लि.]
बसोबास	नाम [वास+आवास]
बसोबास/बसोबासो	ना. [वास+आवास]
बसोबासो	नाम [वास+आवास]
बसौँधी	नाम [हि.]
बसौँनी	नाम
बसौंधी	ना. [हि.]
बसौला	नाम
बस्की	नाम [मग.]
बस्क्याल	नाम
बस्तर	ना. [सं. वस्त्र]
बस्ता	ना. [फा. बस्त]
बस्ती	ना. [सं. वसति]
बस्तीवाल	नाम
बस्तीवाल/वाला	ना.
बस्तीवाला	नाम
बस्तीवासी	नाम
बस्तु	ना. [सं. वस्तु]
बस्तुभाउ	ना.
बस्नु	अ.क्रि. [सं. वस्+नु]
बस्नेत	नाम
बस्नो	नाम
बस्नौटो	नाम [बस्+औटो]
बस्नौटो/बस्न्यौटो	ना. [बस्+औटो/यौटो]
बस्न्यात	नाम
बस्न्यौटो	नाम [बस्+यौटो]
बस्पती	नाम
बस्य	ना. [सं. अवश्य]
बस्यारो	नाम
बस्याल	नाम
बस्योरस्यो	नाम [प्राने.]
बस्यौटो	नाम [बस्+यौटो]
बस्स	नाम
बस्सबस्सै	नाम [द्वि.]
बस्स्या	नाम
बह	ना. [प्रा.]
बहक	नाम
बहकनु	अ.क्रि. [सं. वह+नु]
बहकाइ	ना.
बहकाइनु	क.क्रि.
बहकाउ	ना.
बहकाउनु	स.क्रि.
बहकाव	नाम
बहकावट	ना.
बहकाहट	नाम
बहकिनु	अ.क्रि.
बहकौनी	नाम
बहक्याइ	नाम
बहक्याइ/बहक्याहट	ना.
बहक्याउनु	प्रेरणार्थक क्रिया
बहक्याहट	नाम
बहज्वाइँ	नाम [था.]
बहड	नाम
बहत्तर	ना. [प्रा. बहत्तरि]
बहत्तरे	विशेषण
बहत्तरौँ	विशेषण
बहत्तरौं	वि.
बहना	ना. [सं. बह]
बहनी	नाम
बहनु	अ.क्रि. [सं. वह नु]
बहम	नाम [सं. भ्रम]
बहमन	नाम [प्रा.]
बहर	ना. [सं. वृषभ]
बहर गोरु	ना.
बहरगोरु	नाम
बहरी	नाम [था.]
बहरूपिया	विशेषण
बहल	विशेषण [अस.]
बहलाइ	ना. [√ बहलाउ (+आइ)]
बहलाइनु	क.क्रि.
बहलाउ	ना. [बह+आउ]
बहलाउनु	स.क्रि.
बहलाग्दो	विशेषण
बहलिनु	अकर्मक क्रिया [बहल+इ+नु]
बहलो	नाम
बहस	ना. [अ.]
बहस टिपोट	नाम
बहस नोट	ना.
बहसल	विशेषण [गन्गा.]
बहा	नाम
बहाइ	ना. [√ बह (+आइ)]
बहाईधर्म	नाम
बहाउ	ना.
बहाउनु	स.क्रि.
बहागबिहु	नाम [अस.]
बहाड	ना. [√ बहार]
बहाडिलो	वि.
बहादुर	वि. [तु.]
बहादुर शाह	ना.
बहादुरी	ना. [फा.]
बहादुरी पदक	ना.
बहान	नाम
बहाना	ना. [फा.]
बहानाबाज	विशेषण [बहाना+बाज]
बहानाबाजी	नाम [बहाना+बाजी]
बहाब	नाम [बह+आब]
बहार	ना. [फा.]
बहारिलो	विशेषण
बहाल	ना. [सं. विहार]
बहाल जानु	टुक्का
बहाल पुर्जी	ना.
बहाल बिदौरी	ना.
बहाल राख्नु	टुक्का
बहालगिरी	वि.
बहालवाल	नाम
बहालवाला	वि.
बहालिया	वि.
बहाली	ना. [बहाल ई]
बहालीपुर्जी	नाम
बहाव	नाम [बह+आव]
बहिः	क्रि.वि. [सं.]
बहिःकेन्द्रिक	विशेषण [सं.]
बहिःशाला	नाम [सं.]
बहिःशुल्क	नाम [सं.]
बहिकाल	नाम
बहिङ्गा	नाम [था.]
बहिच्छल्ली	नाम
बहितो	नाम
बहिदार बस्नु	टुक्का
बहिन	नाम [गन्गा.]
बहिना	नाम
बहिनिया	नाम [था.]
बहिनी	ना. [सं. भगिनी]
बहिनी जुवाइँ	ना.
बहिनीजुवाइँ	नाम
बहिने	विशेषण
बहिन्या	नाम [था.]
बहिर	विशेषण
बहिरङ्ग	ना. [सं.]
बहिरङ्ग कक्ष	ना.
बहिरङ्ग रोगी	ना.
बहिरङ्गकक्ष	नाम [सं.]
बहिरङ्गकर्मी	नाम [सं.]
बहिरङ्गपत्र	नाम [सं.]
बहिरङ्गभोग	नाम [सं.]
बहिरङ्गरोगी	नाम [सं.]
बहिरर्थ	नाम [सं.]
बहिराउनु	सकर्मक क्रिया
बहिरागत	विशेषण [सं.]
बहिरिनु	अकर्मक क्रिया
बहिरिन्द्रिय	ना. [सं.]
बहिरो	वि. [सं. बधिर]
बहिर्	क्रियाविशेषण [सं. <बहिः/बहिस्]
बहिर्गत	वि. [सं.]
बहिर्गमन	नाम [सं.]
बहिर्गमित	विशेषण [सं.]
बहिर्गामी	विशेषण [सं.]
बहिर्गृह	नाम [सं.]
बहिर्जगत्	ना. [सं.]
बहिर्देश	ना. [सं.]
बहिर्द्वार	नाम [सं.]
बहिर्निर्गमन	नाम [सं.]
बहिर्भाग	नाम [सं.]
बहिर्भाव	नाम [सं.]
बहिर्भूत	वि. [सं.]
बहिर्मनष्क	विशेषण [सं.]
बहिर्मुख	विशेषण [सं.]
बहिर्मुख/बहिर्मुखी	वि. [सं.]
बहिर्मुखी	विशेषण [सं.]
बहिर्लापिका	ना. [सं.]
बहिर्वास	नाम [सं.]
बहिर्वासी	विशेषण [सं.]
बहिर्विकार	नाम [सं.]
बहिर्व्यसन	नाम [सं.]
बहिर्‍याउनु	सकर्मक क्रिया
बहिल	नाम
बहिष्क	नाम [सं.]
बहिष्करण	नाम [सं. बहिस्+करण]
बहिष्करणवाद	नाम [सं.]
बहिष्करणीय	विशेषण [सं.]
बहिष्कार	ना. [सं.]
बहिष्कारवादी	वि.
बहिष्कार्य	विशेषण [सं.]
बहिष्कृत	वि. [सं.]
बहिष्कोण	नाम [सं.]
बहिस्	ना.यो. [सं.]
बही	ना. [अ. बयाज]
बही पत्र	ना.
बहीखाता	ना.
बहीदार	ना.
बहीपत्र	नाम
बहीमा चढ्नु	टुक्का
बहु	वि. [सं.]
बहुअर्थी	विशेषण [सं.]
बहुआयामिक	विशेषण [सं.]
बहुउद्देश्यीय	वि.
बहुउपयोगी	विशेषण [सं.]
बहुकक्षा	नाम [सं.]
बहुकक्षीय	विशेषण [सं.]
बहुकालिक	विशेषण [सं.]
बहुकेन्द्र	नाम [सं.]
बहुकेन्द्रीय	विशेषण [सं.]
बहुकोण	विशेषण [सं.]
बहुकोणीय	विशेषण [सं.]
बहुकोषीय जीव	ना.
बहुखण्ड	नाम [सं.]
बहुगामी	विशेषण [सं.]
बहुगुणी	विशेषण [सं.]
बहुचर्चित	वि.
बहुजन	नाम [सं.]
बहुजन हिताय	क्रियाविशेषण [सं.]
बहुजल्पक	विशेषण [सं]
बहुज्ञ	वि.
बहुत	वि. [सं. प्रभूत]
बहुतन्त्र	ना. [सं.]
बहुतर	क्रियाविशेषण [सं]
बहुतले	विशेषण
बहुता	नाम [सं.]
बहुतायत	ना. [सं.]
बहुत्व	ना. [सं.]
बहुदरमाई	नाम
बहुदर्शिता	नाम [सं.]
बहुदर्शी	नाम [सं.]
बहुदल	ना. [सं.]
बहुदलवादी	वि.
बहुदला	नाम [सं.]
बहुदलीय	वि.
बहुदलीय प्रजातन्त्र	नाम [सं.]
बहुदलीय व्यवस्था	ना.
बहुदलीयता	ना.
बहुदले	विशेषण
बहुदुग्धा	विशेषण [सं.]
बहुदृश्यात्मक	विशेषण [सं.]
बहुदेववाद	नाम
बहुदेशीय	विशेषण [सं.]
बहुद्वार	नाम [सं.]
बहुधनिक	विशेषण [सं.]
बहुधा	क्रि.वि. [सं.]
बहुधान्य	नाम [सं.]
बहुनामा	वि. [सं.]
बहुपक्ष	ना. [सं.]
बहुपक्षीय	वि.
बहुपति	नाम [सं. बहु+पति]
बहुपति प्रथा	नाम
बहुपतिक	विशेषण [सं.]
बहुपत्नी प्रथा	नाम
बहुपत्नीक	विशेषण [सं.]
बहुपत्नीकता	नाम [सं.]
बहुपत्र	विशेषण [सं.]
बहुपत्रक	विशेषण [सं.]
बहुपदिक	विशेषण [सं.]
बहुपदी	वि. [सं.]
बहुपात्र	नाम [सं.]
बहुपुत्र	नाम [सं]
बहुपुष्पी	नाम [सं.]
बहुप्रचलित	विशेषण [सं.]
बहुप्रयुक्त	विशेषण [सं.]
बहुप्राविधिक	विशेषण [सं.]
बहुफला	नाम [सं.]
बहुबला	नाम [सं.]
बहुबली	विशेषण [सं.]
बहुबाली	नाम
बहुबीज	विशेषण [सं.]
बहुबीजा	नाम [सं.]
बहुभाषाविद्	विशेषण [सं.]
बहुभाषिक	वि. [सं.]
बहुभाषिकता	नाम [बहुभाषिक+ता]
बहुभाषी	विशेषण [बहु+भाषा+ई]
बहुभुज	ना. [सं.]
बहुभोग्य	विशेषण [सं.]
बहुमञ्जरी	नाम [सं.]
बहुमत	वि. [सं.]
बहुमत प्राप्त	वि.
बहुमतप्राप्त	विशेषण [सं.]
बहुमतीय	विशेषण [सं. बहुमत+ईय]
बहुमल	नाम [सं.]
बहुमान	विशेषण [सं.]
बहुमान्य	वि. [सं.]
बहुमार्ग	नाम [सं.]
बहुमार्गी	विशेषण [सं.]
बहुमुखी	वि. [सं.]
बहुमुखी क्याम्पस	ना.
बहुमुखी योजना	नाम [सं.]
बहुमूत्र	ना. [सं.]
बहुमूर्ति	विशेषण [सं.]
बहुमूल्य	वि. [सं.]
बहुरङ्गी	वि. [सं.]
बहुरा	विशेषण
बहुराष्ट्र	नाम [सं.]
बहुराष्ट्रिय	विशेषण [सं.]
बहुराष्ट्रियता	नाम [सं.]
बहुरिनु	नाम
बहुरिया	नाम [था.]
बहुरी	नाम [प्रा. बहुरी]
बहुरुपिया	विशेषण
बहुरूप	नाम [सं.]
बहुरूपी	वि. [सं.]
बहुल	वि. [सं.]
बहुलक	विशेषण [बहुल+क]
बहुलगन्धा	नाम [सं.]
बहुलट्टी	ना. [√ बहुला]
बहुलट्ठी	विशेषण [बहुला]
बहुलट्ठीपन	नाम
बहुलता	ना. [सं.]
बहुलवाद	नाम [सं.]
बहुलवादी	विशेषण [सं. बहुलवाद+ई]
बहुला	वि. [सं. वातुल]
बहुलाइ	ना. [√ बहुलाउ (+आइ)]
बहुलाइनु	क.क्रि.
बहुलाउनु	अ.क्रि. [बहुला+आउ+नु]
बहुलापन	ना.
बहुलाहा	विशेषण
बहुलाहापन	नाम
बहुलिमा	नाम [सं.]
बहुवंश	विशेषण
बहुवचन	ना. [सं.]
बहुवचनान्त	विशेषण [सं.]
बहुवर्ग	विशेषण [सं.]
बहुवर्गीय	विशेषण [सं.]
बहुवर्ण	नाम [सं.]
बहुवर्णी	विशेषण [सं.]
बहुवर्षीय	विशेषण [सं.]
बहुवार	क्रियाविशेषण [सं.]
बहुविकल्प	नाम [सं.]
बहुविकल्पी	वि. [सं.]
बहुविकल्पी प्रश्न	ना.
बहुविघ्न	नाम [सं.]
बहुविघ्नकारी	विशेषण [सं.]
बहुविज्ञ	विशेषण [सं.]
बहुविद्	वि. [सं.]
बहुविद्या	नाम [सं.]
बहुविध	वि. [सं.]
बहुविधिक	विशेषण [सं.]
बहुविवाह	ना. [सं.]
बहुविस्तीर्ण	विशेषण [सं.]
बहुवीर्या	नाम [सं.]
बहुवैकल्पिक	विशेषण [सं.]
बहुव्ययी	विशेषण [सं.]
बहुव्रीहि	ना. [सं.]
बहुशः	क्रि.वि. [सं.]
बहुशाखा	नाम [सं.]
बहुशिल्पिक	विशेषण [सं.]
बहुशृङ्गी	विशेषण [सं.]
बहुश्रुत	वि. [सं.]
बहुसङ्ख्य	वि. [सं.]
बहुसङ्ख्यक	वि.
बहुसङ्ख्या	नाम [सं.]
बहुस्व	नाम [सं.]
बहुस्वामिक	विशेषण [सं.]
बहू	ना. [सं. वधू]
बहूद्देश्यीय	वि. [सं.]
बहूभतेर	नाम
बहूमतेर	ना.
बहूरानी	ना. [बहू+रानी]
बहेलिया	नाम
बह्रनी	नाम [था.]
बह्वर्थी	विशेषण [बहु+अर्थ+ई]
बऽ	नाम
बऽडी	नाम
बा	ना. [√ बाबु]
बाँ	क्रि.वि. [अ. मू]
बाँक	ना. [√ बाँको]
बाँकटे	वि. [बाँह+कट्ट्टा+ए]
बाँका	वि. [सं. बङ्ङ्क]
बाँकी	वि. [अ.]
बाँकी बक्यौता	ना.
बाँकी बच्ल	विशेषण [गन्गा.]
बाँकी लाग्नु	टुक्का
बाँकीदार	विशेषण
बाँकीबक्यौता	नाम
बाँकीवाला	ना.
बाँकुर	विशेषण
बाँकुरा	विशेषण
बाँकुरे	विशेषण
बाँके	ना.
बाँको	ना.
बाँगवा	ना.
बाँच	नाम
बाँच लगुन	टुक्का
बाँचिनु	अ.क्रि.
बाँचिलाउनु	सकर्मक क्रिया [बाँचि+लाउ+नु]
बाँचीबर्ती	नाम [बाँची+बढ्ती/बर्ती]
बाँचीवर्ती	क्रियाविशेषण
बाँचुन्जेल	क्रि.वि.
बाँचो	नाम
बाँच्नु	अ.क्रि. [सं. वञ्चन+नु]
बाँज	नाम
बाँजो	विशेषण [बहु./ति. बाँजा]
बाँजो हान्नु	क्रिया
बाँझ	ना.
बाँझी	वि. [बाँझो + ई]
बाँझो	वि. [सं. बन्ध्य]
बाँझोकुँजो	विशेषण
बाँट्नु	सकर्मक क्रिया
बाँठ	नाम
बाँठी	नाम
बाँठो	विशेषण [बहु./ति. बाँठा, स्त्री. बाँठी]
बाँठ्या	नाम
बाँड	ना. [बाँड्+अ]
बाँडचुँड	ना.
बाँडफाँट	ना.
बाँडा	ना. [वान्ध]
बाँडिनु	क.क्रि. [बाँड्+इ+नु]
बाँडी खानु	टुक्का
बाँडीचुँडी	नाम [(बाँड्+ई)+(चुँड्+ई)]
बाँडे	वि. [बाँडा+ए]
बाँडे जात्रा	ना.
बाँडे मुन्द्रो	ना.
बाँड्नु	स.क्रि. [सं. बण्ड+नु]
बाँतर	नाम
बाँद	नाम
बाँदर	ना. [√ वानर]
बाँदर टोपी	ना.
बाँदर पुच्छे	वि.
बाँदरको घाउ	ना.
बाँदरको तन्देरी	नाम
बाँदरघुर्की	नाम
बाँदरटोपी	नाम
बाँदरनाच	नाम
बाँदरपुच्छ्रे	विशेषण
बाँदरमुखा	विशेषण [बाँदरमुख+आ]
बाँदरलाई लिस्नो	टुक्का
बाँदरे	वि. [बाँदर+ए]
बाँदरे फल	ना.
बाँदरेफल	नाम
बाँदीकोट	नाम
बाँदो	नाम
बाँध	ना. [सं. बन्ध]
बाँधछाँद	ना. [बाँध्+छाँद्]
बाँधपैन	ना. [बाँध+पैन]
बाँधपैनी	नाम
बाँधबुँध	नाम [द्वि. बाँध]
बाँधबुध	ना. [बाँध् (द्वि.)]
बाँधल	विशेषण
बाँधा	ना. [सं. बन्धक]
बाँधिनु	क.क्रि. [बाँध्+इ+नु]
बाँधो	नाम
बाँध्नु	स.क्रि. [सं. बन्ध+नु]
बाँभन	नाम [भोज.]
बाँस	ना. [सं. वंश]
बाँस मिसिरी	नाम
बाँसक	नाम
बाँसगढी	नाम
बाँसघारी	ना.
बाँसझाङ	नाम [बाँस+झाङ]
बाँसपाते	ना.
बाँसी	नाम
बाँसुरी	ना. [वंशी]
बाँसुली	नाम
बाँसुलो	नाम
बाँसे	वि. [बाँस+ए]
बाँसे च्याउ	ना.
बाँसे ढुङ्ग्री	ना.
बाँसे ढुङ्ग्रो	ना.
बाँसेच्याउ	नाम
बाँसेढुङ्ग्री	नाम
बाँसेढुङ्ग्रो	नाम
बाँसेदराज	नाम
बाँस्कोटा	नाम
बाँस्तोला	नाम
बाँस्सर	नाम
बाँह	ना. [सं. बाहु]
बाँह डोला	ना.
बाँहडोला	नाम
बाँहा	नाम [सं. बाहु]
बाँहाभरि	विशेषण
बाः	वि.बो. [फा. बाह]
बाः बाः	वि.बो.
बाःजी	नाम
बाआबेरि	क्रियाविशेषण
बाइ	ना. [बाउ+आइ]
बाइ जानु	टुक्का
बाइकट	नाम [अङ्. बय+कट]
बाइकाट	ना. [अड्. बँय+कट]
बाइजानु	सकर्मक क्रिया [बाइ+जा+नु]
बाइजू	नाम [नेवा.]
बाइड्नु	नाम
बाइदेउ	नाम [अस.]
बाइनु	क.क्रि. [बाउ+इ+नु]
बाइनो	नाम
बाइन्डिङ	नाम [आ.]
बाइपङ्खी	विशेषण [वायु+पङ्खी]
बाइपची	वि. [वायु+पङ्खी]
बाइपास	नाम [अङ्.]
बाइपास गर्नु	टुक्का
बाइफाला	वि. [वायु+फाल्+आ]
बाइफाले	विशेषण [वायु+फाल्+ए]
बाइबल	नाम [अङ्.]
बाइबल/बाइबिल	ना. [अड्.]
बाइबिल	नाम [अङ्.]
बाइभेडा	नाम
बाइमात्रा	ना. [बायाँ+मात्रा]
बाइमी	क्रियाविशेषण
बाइमुखा	विशेषण
बाइमेडो	नाम
बाइरोड	नाम [अङ्. बाइ+रोड]
बाइरोडको बाटो	नाम
बाइलो	नाम
बाइल्लो	विशेषण
बाइशूल	नाम [वायु+शूल]
बाइस	ना. [प्रा.]
बाइसकल	ना. [√ बाइसिकिल]
बाइसधारा	ना. [बाइस+धारा]
बाइसी	ना. [बाइस+ई]
बाइसी चौबिसी	ना.
बाइसी राज्य	नाम
बाइसुल	नाम [सं. वायु+शूल]
बाइसे	वि. [बाइस+ए]
बाइसे राज्य	ना.
बाइसौँ	वि. [बाइस+औं]
बाइस्कल	नाम
बाइस्कोप	ना. [अङ्.]
बाई	नाम [अस.]
बाईँ	नाम [बाहाँ]
बाईँटुक्री	नाम
बाईं	ना. [√ बाहाँ]
बाईदेउ	नाम [अस.]
बाउ	नाम
बाउँ	ना. [सं. बाहु]
बाउँ हान्नु	टुक्का
बाउँकानी	नाम
बाउँटिनु	अ.क्रि. [बाउँटो+इ+नु]
बाउँटे	वि. [बाउँटो+ए]
बाउँटो	वि. [सं. वाम-ट]
बाउँट्या	विशेषण
बाउँट्याइ	ना. [√ बाउँटि (+याइ)]
बाउँट्याहट	ना.
बाउँठिनु	अकर्मक क्रिया
बाउँठे	वि. [बाउँठो+ए.]
बाउँठो	वि.
बाउँठ्याइ	नाम
बाउँडिनु	अ.क्रि. [बाउँडो इ+नु]
बाउँडो	नाम [बहु./ति. बाउँडा]
बाउँड्याइ	ना.
बाउँत	नाम
बाउँपाटो	ना. [बाउँ+पाटो]
बाउँहाते	वि. [बायाँ हाते]
बाउचो	नाम
बाउजिउ	नाम
बाउजु	नाम
बाउज्यू	नाम
बाउत	नाम
बाउते हान्नु	टुक्का
बाउधान	नाम [अस.]
बाउन	नाम
बाउनी काठ	ना. [बाहुनी+काठ]
बाउनीकाठ	नाम [बाहुनी+काठ]
बाउनीचरी	नाम
बाउनु	स.क्रि. [सं. व्यादान]
बाउनो	नाम
बाउन्न	ना. [सं. द्वापञ्चाशत्]
बाउन्न कुरा	ना.
बाउन्न गन्डा	वि.
बाउन्न गीता पाठ गर्नु	टुक्का
बाउन्न घुस्सा	नाम
बाउन्न ठक्कर	ना.
बाउन्नकोटी	नाम
बाउन्ने	वि. [सं. वामन+ए]
बाउन्नौँ	विशेषण [बाउन्न+औँ]
बाउन्नौं	वि. [बाउन्न+औं]
बाउन्न्या	विशेषण
बाउन्न्या बिर	विशेषण
बाउबराजु	नाम
बाउबाजे	नाम
बाउरी	नाम
बाउरु	ना.
बाउरे	ना.
बाउला	नाम
बाउली	[प्राने]
बाउलो	नाम [बाहु+लो]
बाउसाहेब	नाम
बाउसे	ना. [बाउसो+ए]
बाउसो	ना. [सं. बाहुल]
बाओँरो	नाम
बाकट	ना.
बाकटे	नाम/ विशेषण [बाकट+ए]
बाकड	नाम
बाकन	ना. [नेवा.]
बाकरी	नाम [अस.]
बाकरेवाल	नाम
बाकरो	विशेषण [मने.]
बाकल	ना. [सं. बल्कल]
बाकलकाने	ना.
बाकलपाते	ना.
बाकली	नाम [अस.]
बाकलो	विशेषण
बाकस	ना. [अड्. बक्स ]
बाकाइदा	क्रि.वि. [फा. बा+अ. कायद]
बाकुपौ	ना. [नेवा.]
